,Constant,GrowthA,GrowthB,GrowthC,GrowthD,DeclineA,DeclineB,DeclineC,DeclineD
92,40,91,61.21077259,99.0699993,98.61290569,9,-61.21077259,1.930000701,2.387094306
93,40,92,64.04177082,99.11649933,98.74627146,8,-64.04177082,1.883500666,2.253728541
94,40,93,67.00370272,99.16067437,98.86697745,7,-67.00370272,1.839325633,2.133022548
95,40,94,70.10262398,99.20264065,98.9761955,6,-70.10262398,1.797359351,2.023804496
96,40,95,73.34487033,99.24250862,99.07499447,5,-73.34487033,1.757491383,1.925005529
97,40,96,76.73707059,99.28038319,99.16434827,4,-76.73707059,1.719616814,1.835651734
98,40,97,80.2861601,99.31636403,99.24514345,3,-80.2861601,1.683635974,1.754856546
99,40,98,83.99939501,99.35054583,99.3181864,2,-83.99939501,1.649454175,1.681813596
100,40,99,87.88436703,99.38301853,99.38420998,1,-87.88436703,1.616981466,1.615790019
101,40,100,91.949019,99.41386761,99.44387979,0,-91.949019,1.586132393,1.556120209
